"ID","year","I","Q","CFA","D","T","SIC"
"32","1970",0.12219,1.1724,0.2003,0.04644,1,11
"32","1971",0.09184,0.79165,0.07234,0.66158,1,11
"32","1972",0.0939,0.91267,0.22845,0.57597,1,11
"32","1973",0.116,0.28577,0.24793,0.51771,1,11
"32","1974",0.09858,0.29713,0.25247,0.54761,1,11
"32","1975",0.18723,0.55619,0.33465,0.34432,1,11
"32","1976",0.34948,0.38053,0.24269,0.55432,1,11
"32","1977",0.18235,0.56665,0.1199,0.60564,1,11
"209","1987",0.09453,9.06242,3.2698,8.74559,0,3
"209","1988",0.04377,16.89927,5.01435,5.99452,0,3
"209","1989",0.0685,25.14279,5.51053,3.9051,0,3
"209","1990",0.11257,25.60474,5.29207,2.12922,0,3
"209","1991",0.03416,31.14306,6.28411,0.74828,0,3
"800","1963",0.09452,0.85832,0.16414,0.35581,1,27
"800","1964",0.11187,1.01876,0.2054,0.306,1,27
"800","1965",0.12077,0.96713,0.20059,0.34677,1,27
"800","1966",0.15008,0.92295,0.21568,0.42272,1,27
"800","1967",0.10359,0.79262,0.15767,0.42725,1,27
"800","1968",0.11069,0.69676,0.14489,0.42524,1,27
"800","1969",0.10036,0.6392,0.15138,0.38,1,27
"800","1970",0.10583,0.52463,0.12085,0.41411,1,27
"800","1971",0.07166,0.54346,0.10358,0.41483,1,27
"800","1972",0.05296,0.46512,0.10439,0.35488,1,27
"800","1973",0.08907,0.48828,0.1044,0.32166,1,27
"800","1974",0.09168,0.24057,0.10029,0.34268,1,27
"800","1975",0.05009,0.25286,0.10499,0.32105,1,27
"800","1976",0.06392,0.30746,0.10008,0.27926,1,27
"800","1977",0.06209,0.27474,0.09517,0.26604,1,27
"800","1978",0.07074,0.21051,0.09186,0.26113,1,27
"800","1979",0.06173,0.21221,0.08494,0.24621,1,27
"800","1980",0.07924,0.24951,0.085,0.254,1,27
"800","1981",0.05355,0.20688,0.07346,0.25214,1,27
"800","1982",0.05567,0.13628,0.05952,0.27711,1,27
"800","1983",0.02382,0.22048,0.03168,0.26979,1,27
"886","1979",0.23125,1.56918,0.54647,0.30293,0,25
"886","1980",0.3459,2.20688,0.41029,0.24051,0,25
"886","1981",0.14674,1.10874,0.35782,0.18438,0,25
"886","1982",0.19606,1.45734,0.34393,0.2132,0,25
"886","1983",0.15108,1.88013,0.42551,0.18698,0,25
"886","1984",0.1682,1.44738,0.42882,0.38569,0,25
"886","1985",0.18097,2.3392,0.68958,0.3299,0,25
"886","1986",0.24507,3.83782,0.91834,0.10322,0,25
"886","1987",0.21791,3.9332,0.93207,0.08036,0,25
"886","1988",0.23517,2.61434,0.89146,0.0648,0,25
"886","1989",0.22573,2.88379,0.73108,0.08462,0,25
"886","1990",0.18396,2.6133,0.92968,0.06821,0,25
"886","1991",0.26222,3.16914,0.84379,0.54233,0,25
"1015","1976",0.16337,0.69277,0.29219,0.19401,0,21
"1015","1977",0.034,0.77841,0.42937,0.13773,0,21
"1015","1978",0.02308,0.61507,0.34075,0.39985,0,21
"1015","1979",0.04596,1.07198,0.37215,0.32103,0,21
"1015","1980",0.0232,0.7576,0.26508,0.28459,0,21
"1015","1981",0.05286,0.52037,0.2594,0.32609,0,21
"1015","1982",0.19472,0.26714,0.07717,0.5033,0,21
"1015","1983",0.09486,0.51216,0.17963,0.4724,0,21
"1015","1984",0.05714,0.94259,0.36044,0.45714,0,21
"1015","1985",0.04877,0.77613,0.23717,0.45064,0,21
"1015","1986",0.05333,0.9438,0.30218,0.39241,0,21
"1015","1987",0.12129,0.64275,0.14233,0.29322,0,21
"1030","1972",0.15898,0.26662,-0.00175,0.62046,0,29
"1030","1973",0.16262,0.1479,0.10339,0.52394,0,29
"1030","1974",0.105,0.07581,0.07936,0.613,0,29
"1030","1975",0.04006,0.18772,0.08975,0.56631,0,29
"1030","1976",0.09213,0.25272,0.12865,0.47173,0,29
"1030","1977",0.13567,0.29121,0.14637,0.56782,0,29
"1030","1978",0.16206,0.28166,0.18761,0.58567,0,29
"1030","1979",0.17429,0.36118,0.0349,0.514,0,29
"1030","1980",0.14632,0.44336,0.03209,0.54543,0,29
"1030","1981",0.17356,0.33447,-0.02193,0.60154,0,29
"1030","1982",0.06026,0.96448,0.10148,0.14933,0,29
"1030","1983",0.07199,1.64754,0.21969,0.14047,0,29
"1030","1984",0.10428,1.96695,0.17552,0.24566,0,29
"1030","1985",0.19188,1.4058,0.22521,0.28885,0,29
"1030","1986",0.15774,1.05714,0.20558,0.22954,0,29
"1030","1987",0.17749,0.66007,0.15122,0.3315,0,29
"1030","1988",0.16758,0.44615,0.01136,0.72851,0,29
"1030","1989",0.13834,0.26576,-0.0183,0.68057,0,29
"1030","1990",0.16168,0.26465,0.1579,0.67593,0,29
"1031","1986",0.14132,0.97674,0.31813,0,0,11
"1031","1987",0.14425,0.82322,0.31672,0,0,11
"1031","1988",0.20165,1.03856,0.31399,0.08707,0,11
"1031","1989",0.24586,1.76986,0.31959,0.57753,0,11
"1031","1990",0.35051,0.65526,0.17337,0.35105,0,11
"1031","1991",0.18043,0.99969,0.17778,0.37917,0,11
