"date","government_bond","production_index","CPI","unemployment_rate","shock_freq"
"011999",3.702,75.86181,77.2,8.9,2
"021999",3.849,74.44949,77.3,8.8,1
"031999",4.03782608695652,74.95389,77.5,8.8,2
"041999",3.85,75.45829,77.8,8.7,2
"051999",4.01210526315789,75.96269,77.8,8.6,2
"061999",4.36047619047619,75.96269,77.8,8.6,2
"071999",4.67636363636364,76.56797,78.2,8.5,3
"081999",4.87909090909091,77.27413,78.2,8.5,1
"091999",5.04045454545455,76.9715,78,8.4,2
"101999",5.29238095238095,77.77853,77.9,8.4,2
"111999",5.04,77.67765,78,8.3,2
"121999",5.14761904761905,77.77853,78.3,8.2,2
"012000",5.53952380952381,79.15593,78.5,8.2,2
"022000",5.50857142857143,80.89562,78.6,8.1,2
"032000",5.33304347826087,80.79897,78.6,8.1,3
"042000",5.22555555555556,81.95876,78.6,8,2
"052000",5.37818181818182,83.89175,78.4,8,2
"062000",5.19136363636364,81.47552,78.9,8,2
"072000",5.26619047619048,83.50516,79.2,7.9,2
"082000",5.2104347826087,83.9884,79,7.9,2
"092000",5.26333333333333,84.08505,79.2,7.9,1
"102000",5.20714285714286,83.7951,79.1,7.8,2
"112000",5.15363636363636,84.1817,79.1,7.8,3
"122000",4.89052631578947,84.5683,80,7.7,1
"012001",4.80318181818182,84.27835,79.5,7.7,2
"022001",4.7775,85.24484,80,7.7,2
"032001",4.66772727272727,84.1817,80,7.6,3
"042001",4.82789473684211,83.11855,80.3,7.6,2
"052001",5.04681818181818,83.89175,80.7,7.7,2
"062001",5,83.7951,80.8,7.7,2
"072001",5.01590909090909,81.66882,80.9,7.8,2
"082001",4.82391304347826,83.89175,80.7,7.8,2
"092001",4.813,82.73196,80.6,7.9,3
"102001",4.5995652173913,81.18557,80.4,8,2
"112001",4.44772727272727,80.41237,80.2,8,1
"122001",4.73588235294118,81.28222,81.1,8.1,1
"012002",4.86272727272727,81.08892,81.1,8.1,1
"022002",4.9195,81.28222,81.4,8.2,1
"032002",5.161,81.76546,81.5,8.2,1
"042002",5.1552380952381,81.95876,81.5,8.3,1
"052002",5.16772727272727,81.28222,81.6,8.4,1
"062002",5.0175,82.92525,81.5,8.5,1
"072002",4.86739130434783,81.66882,81.8,8.6,1
"082002",4.58954545454545,83.40851,81.6,8.7,1
"092002",4.38523809523809,82.63531,81.5,8.9,1
"102002",4.46391304347826,81.95876,81.4,9,1
"112002",4.47761904761905,83.0219,81.1,9.1,1
"122002",4.33555555555556,81.66882,82,9.2,1
"012003",4.18,82.44201,82,9.4,1
