"STCNTY","ROA","REPDTE","STNAME","CERT","STALP","ID"
"Ohio",0.922131147540984,"19840331","WEST VIRGINIA",10002,"WV","10002_19840331"
"Ohio",0.61633281972265,"19840630","WEST VIRGINIA",10002,"WV","10002_19840630"
"Ohio",0.988794329690102,"19840930","WEST VIRGINIA",10002,"WV","10002_19840930"
"Ohio",0.940843014299866,"19841231","WEST VIRGINIA",10002,"WV","10002_19841231"
"Ohio",0.90867203154635,"19850331","WEST VIRGINIA",10002,"WV","10002_19850331"
"Ohio",1.0776215353256,"19850630","WEST VIRGINIA",10002,"WV","10002_19850630"
"Ohio",1.01436883713023,"19850930","WEST VIRGINIA",10002,"WV","10002_19850930"
"Ohio",0.967557380359427,"19851231","WEST VIRGINIA",10002,"WV","10002_19851231"
"Ohio",0.953926932403455,"19860331","WEST VIRGINIA",10002,"WV","10002_19860331"
"Ohio",0.800589488777807,"19860630","WEST VIRGINIA",10002,"WV","10002_19860630"
"Ohio",0.843781239615726,"19860930","WEST VIRGINIA",10002,"WV","10002_19860930"
"Ohio",0.935040340875466,"19861231","WEST VIRGINIA",10002,"WV","10002_19861231"
"Ohio",1.14116126561677,"19870331","WEST VIRGINIA",10002,"WV","10002_19870331"
"Ohio",1.14292289105797,"19870630","WEST VIRGINIA",10002,"WV","10002_19870630"
"Ohio",1.14914833886007,"19870930","WEST VIRGINIA",10002,"WV","10002_19870930"
"Ohio",1.03213940941021,"19871231","WEST VIRGINIA",10002,"WV","10002_19871231"
"Ohio",1.0720887245841,"19880331","WEST VIRGINIA",10002,"WV","10002_19880331"
"Ohio",1.00824703912693,"19880630","WEST VIRGINIA",10002,"WV","10002_19880630"
"Ohio",1.0699781345488,"19880930","WEST VIRGINIA",10002,"WV","10002_19880930"
"Ohio",1.00787643544652,"19881231","WEST VIRGINIA",10002,"WV","10002_19881231"
"Ohio",1.08212560386473,"19890331","WEST VIRGINIA",10002,"WV","10002_19890331"
"Ohio",1.15280886993002,"19890630","WEST VIRGINIA",10002,"WV","10002_19890630"
"Ohio",1.17980253059896,"19890930","WEST VIRGINIA",10002,"WV","10002_19890930"
"Ohio",0.964477134365143,"19891231","WEST VIRGINIA",10002,"WV","10002_19891231"
"Ohio",1.03307021969846,"19900331","WEST VIRGINIA",10002,"WV","10002_19900331"
"Ohio",1.00774185521769,"19900630","WEST VIRGINIA",10002,"WV","10002_19900630"
"Ohio",1.02483316929344,"19900930","WEST VIRGINIA",10002,"WV","10002_19900930"
"Ohio",0.94533764252586,"19901231","WEST VIRGINIA",10002,"WV","10002_19901231"
"Ohio",0.405184994420122,"19910331","WEST VIRGINIA",10002,"WV","10002_19910331"
"Ohio",0.421617915904936,"19910630","WEST VIRGINIA",10002,"WV","10002_19910630"
"Ohio",0.469333447252067,"19910930","WEST VIRGINIA",10002,"WV","10002_19910930"
"Ohio",0.446478591096911,"19911231","WEST VIRGINIA",10002,"WV","10002_19911231"
"Ohio",0.579171225720468,"19920331","WEST VIRGINIA",10002,"WV","10002_19920331"
